央视,#genre#
CCTV10,http://39.137.49.76:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.137.49.76:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.137.49.76:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.137.49.76:8080/PLTV/88888910/224/3221225495/index.m3u8
CCTV12,http://39.137.49.76:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.137.49.76:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://39.137.49.76:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.137.49.76:8080/PLTV/88888910/224/3221225494/index.m3u8
CCTV14,http://39.137.49.76:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.137.49.76:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://39.137.49.76:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://39.137.49.76:8080/PLTV/88888910/224/3221225907/index.m3u8
CCTV17,http://39.137.49.76:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV17,http://39.137.49.76:8080/PLTV/88888910/224/3221225909/index.m3u8
CCTV17,http://39.137.49.76:8080/PLTV/88888910/224/3221225913/index.m3u8
CCTV1,http://117.169.120.98:8080/PLTV/88888910/224/3221225501/index.m3u8
CCTV1,http://117.169.120.98:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://117.169.120.98:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://117.169.120.98:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://117.169.120.98:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://117.169.120.98:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV2,http://117.169.120.98:8080/PLTV/88888910/224/3221225500/index.m3u8
CCTV2,http://117.169.120.98:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://117.169.120.98:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://117.169.120.98:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://117.169.120.98:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://117.169.120.98:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://117.169.120.98:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://117.169.120.98:8080/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://117.169.120.98:8080/PLTV/88888910/224/3221225752/index.m3u8
CCTV5,http://117.169.120.98:8080/PLTV/88888910/224/3221225753/index.m3u8
CCTV5,http://117.169.120.98:8080/PLTV/88888910/224/3221225754/index.m3u8
CCTV5,http://117.169.120.98:8080/PLTV/88888910/224/3221225755/index.m3u8
CCTV5,http://117.169.120.98:8080/PLTV/88888910/224/3221225756/index.m3u8
CCTV5+,http://117.169.120.98:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://117.169.120.98:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://117.169.120.98:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://117.169.120.98:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://117.169.120.98:8080/PLTV/88888910/224/3221225499/index.m3u8
CCTV7,http://117.169.120.98:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://117.169.120.98:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://117.169.120.98:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://117.169.120.98:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://117.169.120.98:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://117.169.120.98:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://117.169.120.98:8080/PLTV/88888910/224/3221225920/index.m3u8
CCTV10,http://117.169.120.98:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://117.169.120.98:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://117.169.120.98:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://117.169.120.98:8080/PLTV/88888910/224/3221225495/index.m3u8
CCTV12,http://117.169.120.98:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://117.169.120.98:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://117.169.120.98:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://117.169.120.98:8080/PLTV/88888910/224/3221225494/index.m3u8
CCTV14,http://117.169.120.98:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://117.169.120.98:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://117.169.120.98:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://117.169.120.98:8080/PLTV/88888910/224/3221225907/index.m3u8
CCTV17,http://117.169.120.98:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV17,http://117.169.120.98:8080/PLTV/88888910/224/3221225909/index.m3u8
CCTV17,http://117.169.120.98:8080/PLTV/88888910/224/3221225913/index.m3u8
卫视,#genre#
凤凰中文,http://117.169.119.199:8080/live/fhchinese/index.m3u8
凤凰资讯,http://117.169.119.199:8080/live/fhzixun/index.m3u8
东南卫视,http://117.169.119.199:8080/live/dongnanstv/index.m3u8
东方卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-dongfangstv/index.m3u8
东方卫视,http://117.169.119.199:8080/live/hddongfangstv/index.m3u8
北京卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingstv/index.m3u8
北京卫视,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
天津卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-tianjinstv/index.m3u8
天津卫视,http://117.169.119.199:8080/live/hdtianjinstv/index.m3u8
安徽卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-anhuistv/index.m3u8
安徽卫视,http://117.169.119.199:8080/live/anhuistv/index.m3u8
山东卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-shandongstv/index.m3u8
山东卫视,http://117.169.119.199:8080/live/hdshandongstv/index.m3u8
广东卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-guangdongstv/index.m3u8
广东卫视,http://117.169.119.199:8080/live/hdguangdongstv/index.m3u8
江苏卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-jiangsustv/index.m3u8
江苏卫视,http://117.169.119.199:8080/live/hdjiangsustv/index.m3u8
江西卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-jiangxistv/index.m3u8
江西卫视,http://117.169.119.199:8080/live/hdjiangxistv/index.m3u8
浙江卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-zhejiangstv/index.m3u8
浙江卫视,http://117.169.119.199:8080/live/hdzhejiangstv/index.m3u8
深圳卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-shenzhenstv/index.m3u8
深圳卫视,http://117.169.119.199:8080/live/hdshenzhenstv/index.m3u8
湖北卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-hubeistv/index.m3u8
湖北卫视,http://117.169.119.199:8080/live/hdhubeistv/index.m3u8
湖南卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-hunanstv/index.m3u8
湖南卫视,http://117.169.119.199:8080/live/hdhunanstv/index.m3u8
辽宁卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-liaoningstv/index.m3u8
辽宁卫视,http://117.169.119.199:8080/live/liaoningstv/index.m3u8
重庆卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-chongqingstv/index.m3u8
重庆卫视,http://117.169.119.199:8080/live/chongqingstv/index.m3u8
黑龙江卫视,http://117.169.119.199:8080/live/HD-8000k-1080P-heilongjiangstv/index.m3u8
黑龙江卫视,http://117.169.119.199:8080/live/hdheilongjiangstv/index.m3u8
云南卫视,http://117.169.119.199:8080/live/yunnanstv/index.m3u8
内蒙古卫视,http://117.169.119.199:8080/live/neimenggustv/index.m3u8
吉林卫视,http://117.169.119.199:8080/live/jilinstv/index.m3u8
四川卫视,http://117.169.119.199:8080/live/sichuanstv/index.m3u8
宁夏卫视,http://117.169.119.199:8080/live/ningxiastv/index.m3u8
山西卫视,http://117.169.119.199:8080/live/shanxistv/index.m3u8
广西卫视,http://117.169.119.199:8080/live/guangxistv/index.m3u8
新疆卫视,http://117.169.119.199:8080/live/xinjiangstv/index.m3u8
海南卫视,http://117.169.119.199:8080/live/lvyoustv/index.m3u8
江苏卫视,http://117.169.119.199:8080/live/jiangsustv/index.m3u8
江西卫视,http://117.169.119.199:8080/live/jiangxistv/index.m3u8
河北卫视,http://117.169.119.199:8080/live/hebeistv/index.m3u8
河南卫视,http://117.169.119.199:8080/live/henanstv/index.m3u8
浙江卫视,http://117.169.119.199:8080/live/zhejiangstv/index.m3u8
深圳卫视,http://117.169.119.199:8080/live/shenzhenstv/index.m3u8
湖北卫视,http://117.169.119.199:8080/live/hubeistv/index.m3u8
湖南卫视,http://117.169.119.199:8080/live/hdhunanstv/index.m3u8
甘肃卫视,http://117.169.119.199:8080/live/gansustv/index.m3u8
西藏卫视,http://117.169.119.199:8080/live/xizangstv/index.m3u8
贵州卫视,http://117.169.119.199:8080/live/guizhoustv/index.m3u8
陕西卫视,http://117.169.119.199:8080/live/shanxi1stv/index.m3u8
北京冬奥纪实,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingjishi/index.m3u8
北京冬奥纪实,http://117.169.119.199:8080/live/HD-2500k-1080P-beijingjishi/index.m3u8
山东教育卫视,http://117.169.119.199:8080/live/shandongjy/index.m3u8
北京卡酷少儿,http://117.169.119.199:8080/live/kakukaton/index.m3u8
湖南金鹰卡通,http://117.169.119.199:8080/live/jinyingkaton/index.m3u8
上海哈哈炫动,http://117.169.119.199:8080/live/xuandongkaton/index.m3u8
江苏优漫卡通,http://117.169.119.199:8080/live/youmankaton/index.m3u8
东南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8
东方卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8
东方卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225739/index.m3u8
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225698/index.m3u8
安徽卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225737/index.m3u8
安徽卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225816/index.m3u8
安徽卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225691/index.m3u8
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8
广东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225742/index.m3u8
广东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225743/index.m3u8
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225702/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225852/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225746/index.m3u8
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225744/index.m3u8
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225828/index.m3u8
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225741/index.m3u8
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225700/index.m3u8
湖北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225740/index.m3u8
湖北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8
湖南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225745/index.m3u8
湖南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225704/index.m3u8
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225735/index.m3u8
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8
重庆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225734/index.m3u8
重庆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225692/index.m3u8
